path	cell	dataType	antibody	view	replicate	type	lab
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3ac06599FCntrl32bE2p24hPcr2xSigRep1.bigWig	C2C12	ChipSeq	H3ac_(06-599)	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3ac06599FCntrl32bPcr2xAlnRep1.bam	C2C12	ChipSeq	H3ac_(06-599)	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3ac06599FCntrl32bPcr2xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3ac_(06-599)	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3ac06599FCntrl32bPcr2xSigRep1.bigWig	C2C12	ChipSeq	H3ac_(06-599)	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k04me3FCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K4me3	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k04me3FCntrl50bE2p60hPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K4me3	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k04me3FCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K4me3	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k04me3FCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K4me3	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k04me3FCntrl50bPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K4me3	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k04me3FCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K4me3	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k27me3FCntrl32bE2p60hPcr2xAlnRep1.bam	C2C12	ChipSeq	H3K27me3	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k27me3FCntrl32bE2p60hPcr2xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K27me3	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k27me3FCntrl32bE2p60hPcr2xSigRep1.bigWig	C2C12	ChipSeq	H3K27me3	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k27me3FCntrl32bPcr2xAlnRep1.bam	C2C12	ChipSeq	H3K27me3	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k27me3FCntrl32bPcr2xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K27me3	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k27me3FCntrl32bPcr2xSigRep1.bigWig	C2C12	ChipSeq	H3K27me3	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k36me3FCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K36me3	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k36me3FCntrl50bE2p60hPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K36me3	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k36me3FCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K36me3	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k36me3FCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K36me3	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k36me3FCntrl50bPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K36me3	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3k36me3FCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K36me3	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl32bE2p24hPcr2xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl32bE2p24hPcr2xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl32bE2p60hPcr2xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl32bE2p60hPcr2xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl32bPcr2xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl32bPcr2xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12InputFCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200AlnRep1.bam	10T1/2	RnaSeq		Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hAlnRep1.bam	10T1/2	RnaSeq		Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hRawRep1.bigWig	10T1/2	RnaSeq		RawSignal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hSigRep1.bigWig	10T1/2	RnaSeq		Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200RawRep1.bigWig	10T1/2	RnaSeq		RawSignal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200SigRep1.bigWig	10T1/2	RnaSeq		Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200AlnRep1.bam	C2C12	RnaSeq		Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hAlnRep1.bam	C2C12	RnaSeq		Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hRawRep1.bigWig	C2C12	RnaSeq		RawSignal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hSigRep1.bigWig	C2C12	RnaSeq		Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200RawRep1.bigWig	C2C12	RnaSeq		RawSignal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechRnaSeq/wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200SigRep1.bigWig	C2C12	RnaSeq		Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	CEBPB	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xAlnRep2.bam	C2C12	ChipSeq	CEBPB	Alignments	2	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	CEBPB	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep2.narrowPeak.gz	C2C12	ChipSeq	CEBPB	Peaks	2	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	CEBPB	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xSigRep2.bigWig	C2C12	ChipSeq	CEBPB	Signal	2	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	CEBPB	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	CEBPB	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	CEBPB	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xAlnRep1.bam	C2C12	ChipSeq	CTCF	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xPkRep1.narrowPeak.gz	C2C12	ChipSeq	CTCF	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xSigRep1.bigWig	C2C12	ChipSeq	CTCF	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	E2F4	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	E2F4	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	E2F4	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xAlnRep1.bam	C2C12	ChipSeq	FOSL1_(sc-605)	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	FOSL1_(sc-605)	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xSigRep1.bigWig	C2C12	ChipSeq	FOSL1_(sc-605)	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p24hPcr2xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p24hPcr2xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p60hPcr2xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p60hPcr2xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl32bPcr2xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl32bPcr2xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl36bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl36bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl36bPcr1xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl36bPcr1xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xAlnRep2.bam	C2C12	ChipSeq	Input	Alignments	2	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xSigRep2.bigWig	C2C12	ChipSeq	Input	Signal	2	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	Input	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	Input	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xSigRep2.bigWig	C2C12	ChipSeq	Input	Signal	2	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xSigRep3.bigWig	C2C12	ChipSeq	Input	Signal	3	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	Max	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	Max	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	Max	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	Max	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	Max	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	Max	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xAlnRep1.bam	C2C12	ChipSeq	NRSF	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xPkRep1.narrowPeak.gz	C2C12	ChipSeq	NRSF	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xSigRep1.bigWig	C2C12	ChipSeq	NRSF	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechTfbs/wgEncodeCaltechTfbsC2c12Pol2FCntrl32bE2p60hPcr2xAlnRep1.bam	C2C12	ChipSeq	Pol2	Alignments	1	bam	Caltech-m
