path	cell	dataType	antibody	view	replicate	type	lab
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescH3k36me3.broadPeak.gz	H1-hESC	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescH3k4me1.broadPeak.gz	H1-hESC	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescH3k4me2.broadPeak.gz	H1-hESC	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescH3k4me3.broadPeak.gz	H1-hESC	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescH3k9ac.broadPeak.gz	H1-hESC	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescH4k20me1.broadPeak.gz	H1-hESC	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHepg2Ctcf.broadPeak.gz	HepG2	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHepg2H3k27ac.broadPeak.gz	HepG2	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHepg2H3k36me3.broadPeak.gz	HepG2	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHepg2H3k4me2.broadPeak.gz	HepG2	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHepg2H3k4me3.broadPeak.gz	HepG2	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHepg2H3k9ac.broadPeak.gz	HepG2	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHepg2H4k20me1.broadPeak.gz	HepG2	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecCtcf.broadPeak.gz	HMEC	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH3k27ac.broadPeak.gz	HMEC	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH3k27me3.broadPeak.gz	HMEC	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH3k36me3.broadPeak.gz	HMEC	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH3k4me1.broadPeak.gz	HMEC	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH3k4me2.broadPeak.gz	HMEC	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH3k4me3.broadPeak.gz	HMEC	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH3k9ac.broadPeak.gz	HMEC	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHmecH4k20me1.broadPeak.gz	HMEC	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmCtcf.broadPeak.gz	HSMM	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH3k27ac.broadPeak.gz	HSMM	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH3k27me3.broadPeak.gz	HSMM	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH3k36me3.broadPeak.gz	HSMM	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH3k4me1.broadPeak.gz	HSMM	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH3k4me2.broadPeak.gz	HSMM	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH3k4me3.broadPeak.gz	HSMM	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH3k9ac.broadPeak.gz	HSMM	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHsmmH4k20me1.broadPeak.gz	HSMM	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecCtcf.broadPeak.gz	HUVEC	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k27ac.broadPeak.gz	HUVEC	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k27me3.broadPeak.gz	HUVEC	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k36me3.broadPeak.gz	HUVEC	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k4me1.broadPeak.gz	HUVEC	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k4me2.broadPeak.gz	HUVEC	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k4me3.broadPeak.gz	HUVEC	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k9ac.broadPeak.gz	HUVEC	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH3k9me1.broadPeak.gz	HUVEC	ChipSeq	H3K9me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecH4k20me1.broadPeak.gz	HUVEC	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksHuvecPol2b.broadPeak.gz	HUVEC	ChipSeq	Pol2(b)	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562Ctcf.broadPeak.gz	K562	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k27ac.broadPeak.gz	K562	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k27me3.broadPeak.gz	K562	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k36me3.broadPeak.gz	K562	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k4me1.broadPeak.gz	K562	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k4me2.broadPeak.gz	K562	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k4me3.broadPeak.gz	K562	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k9ac.broadPeak.gz	K562	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H3k9me1.broadPeak.gz	K562	ChipSeq	H3K9me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562H4k20me1.broadPeak.gz	K562	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksK562Pol2b.broadPeak.gz	K562	ChipSeq	Pol2(b)	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekCtcf.broadPeak.gz	NHEK	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k27ac.broadPeak.gz	NHEK	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k27me3.broadPeak.gz	NHEK	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k36me3.broadPeak.gz	NHEK	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k4me1.broadPeak.gz	NHEK	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k4me2.broadPeak.gz	NHEK	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k4me3.broadPeak.gz	NHEK	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k9ac.broadPeak.gz	NHEK	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH3k9me1.broadPeak.gz	NHEK	ChipSeq	H3K9me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekH4k20me1.broadPeak.gz	NHEK	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhekPol2b.broadPeak.gz	NHEK	ChipSeq	Pol2(b)	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfCtcf.broadPeak.gz	NHLF	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH3k27ac.broadPeak.gz	NHLF	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH3k27me3.broadPeak.gz	NHLF	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH3k36me3.broadPeak.gz	NHLF	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH3k4me1.broadPeak.gz	NHLF	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH3k4me2.broadPeak.gz	NHLF	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH3k4me3.broadPeak.gz	NHLF	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH3k9ac.broadPeak.gz	NHLF	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksNhlfH4k20me1.broadPeak.gz	NHLF	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmGm12878HMM.bed.gz	GM12878	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmH1hescHMM.bed.gz	H1-hESC	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHepg2HMM.bed.gz	HepG2	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHmecHMM.bed.gz	HMEC	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHsmmHMM.bed.gz	HSMM	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHuvecHMM.bed.gz	HUVEC	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmK562HMM.bed.gz	K562	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmNhekHMM.bed.gz	NHEK	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmNhlfHMM.bed.gz	NHLF	Combined		HMM		bed	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBuOrchid/wgEncodeBuOrchidSignalRep1Gm12878.bw		Orchid		Signal	1	bw	BU
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBuOrchid/wgEncodeBuOrchidSignalRep2Gm12878.bw		Orchid		Signal	2	bw	BU
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksAosmcSerumfree.narrowPeak.gz	AoSMC	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksChorion.narrowPeak.gz	Chorion	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksFibrobl.narrowPeak.gz	Fibrobl	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksFibrop.narrowPeak.gz	FibroP	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksGm12878V3.narrowPeak.gz	GM12878	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksGm12891V2.narrowPeak.gz	GM12891	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksGm12892V2.narrowPeak.gz	GM12892	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksGm18507.narrowPeak.gz	GM18507	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksGm19238V2.narrowPeak.gz	GM19238	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksGm19239V2.narrowPeak.gz	GM19239	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksGm19240V2.narrowPeak.gz	GM19240	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksH1hescV2.narrowPeak.gz	H1-hESC	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksH9es.narrowPeak.gz	H9ES	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksHelas3Ifna4h.narrowPeak.gz	HeLa-S3	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksHelas3V3.narrowPeak.gz	HeLa-S3	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksHepg2V3.narrowPeak.gz	HepG2	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksHsmm.narrowPeak.gz	HSMM	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksHsmmt.narrowPeak.gz	HSMMtube	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksHuvecV2.narrowPeak.gz	HUVEC	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksK562V3.narrowPeak.gz	K562	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksLhsr.narrowPeak.gz	LHSR	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksLhsrAndro.narrowPeak.gz	LHSR	DnaseSeq		Peaks		narrowPeak	Duke
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeChromatinMap/wgEncodeDukeDNaseSeqPeaksMcf7.narrowPeak.gz	MCF-7	DnaseSeq		Peaks		narrowPeak	Duke
